10000; 620752
15000; 932064
20000; 1341662
25000; 1619252
30000; 2015930
35000; 2434884
40000; 2877630
45000; 3079994
50000; 3484788
55000; 3902498
60000; 4329420
65000; 4777130
70000; 5222730
75000; 5689326
80000; 6166774
85000; 6193884
90000; 6613002
95000; 7042834
100000; 7473214
105000; 7914580
110000; 8350416
115000; 8794498
120000; 9255964
125000; 9724006
130000; 10192350
135000; 10653836
140000; 11137410
145000; 11630426
150000; 12130086
155000; 12615426
160000; 13128248
165000; 13382736
170000; 13240594
175000; 13682482
180000; 14123062
185000; 14578448
190000; 15033994
195000; 15487358
200000; 15939742
205000; 16404310
210000; 16862378
215000; 17328648
220000; 17806510
225000; 18272850
230000; 18765260
235000; 19227874
240000; 19716918
245000; 20199214
250000; 20689700
255000; 21189492
260000; 21678716
265000; 22177496
270000; 22676478
275000; 23178786
280000; 23679306
285000; 24199610
290000; 24696918
295000; 25226746
300000; 25737954
305000; 26253546
310000; 26788220
315000; 27313422
320000; 27874362
325000; 28394222
330000; 28417606
335000; 27882602
340000; 28172544
345000; 28641838
350000; 29111528
355000; 29583614
360000; 30064776
365000; 30532278
370000; 31005112
375000; 31481090
380000; 31952220
385000; 32433514
390000; 32919718
395000; 33398790
400000; 33876464
405000; 34372120
410000; 34845848
415000; 35345348
420000; 35838562
425000; 36328394
430000; 36816456
435000; 37323150
440000; 37811116
445000; 38305674
450000; 38807252
455000; 39315180
460000; 39809652
465000; 40313006
470000; 40826986
475000; 41330060
480000; 41836412
485000; 42329680
490000; 42855098
495000; 43363074
500000; 43885556
505000; 44393306
510000; 44917128
515000; 45432062
520000; 45956914
525000; 46471814
530000; 46991396
535000; 47506378
540000; 48053972
545000; 48571054
550000; 49120490
555000; 49650948
560000; 50169678
565000; 50697928
570000; 51232122
575000; 51780802
580000; 52322580
585000; 52858130
590000; 53401962
595000; 53948624
600000; 54506354
605000; 55035014
610000; 55573386
615000; 56142384
620000; 56671786
625000; 57229808
630000; 57782456
635000; 58346022
640000; 58897820
645000; 59455964
650000; 60006480
655000; 60589464
660000; 60150488
665000; 59642394
670000; 59134128
675000; 59275268
680000; 59754282
685000; 60251556
690000; 60737550
695000; 61232920
700000; 61727972
705000; 62223634
710000; 62716574
715000; 63208404
720000; 63711192
725000; 64204520
730000; 64713396
735000; 65198628
740000; 65703054
745000; 66214084
750000; 66715192
755000; 67213120
760000; 67718644
765000; 68216138
770000; 68731292
775000; 69225036
780000; 69725064
785000; 70244258
790000; 70758640
795000; 71249266
800000; 71759008
805000; 72281048
810000; 72784604
815000; 73300800
820000; 73807710
825000; 74313984
830000; 74831052
835000; 75349194
840000; 75874908
845000; 76391890
850000; 76906470
855000; 77414376
860000; 77923276
865000; 78459638
870000; 78973548
875000; 79494668
880000; 80004724
885000; 80529058
890000; 81062892
895000; 81595948
900000; 82113888
905000; 82648768
910000; 83164618
915000; 83694998
920000; 84204540
925000; 84743724
930000; 85275600
935000; 85818752
940000; 86328500
945000; 86885708
950000; 87393736
955000; 87933186
960000; 88463114
965000; 89000414
970000; 89520980
975000; 90066924
980000; 90599384
985000; 91137416
990000; 91695674
995000; 92229558
1000000; 92742000
