10000; 0.002
15000; 0.003
20000; 0.005
25000; 0.005
30000; 0.005
35000; 0.007
40000; 0.007
45000; 0.009
50000; 0.011
55000; 0.014
60000; 0.013
65000; 0.014
70000; 0.016
75000; 0.023
80000; 0.020
85000; 0.020
90000; 0.020
95000; 0.021
100000; 0.023
105000; 0.030
110000; 0.030
115000; 0.025
120000; 0.028
125000; 0.031
130000; 0.031
135000; 0.031
140000; 0.030
145000; 0.033
150000; 0.027
155000; 0.014
160000; 0.014
165000; 0.015
170000; 0.015
175000; 0.113
180000; 0.021
185000; 0.020
190000; 0.018
195000; 0.018
200000; 0.019
205000; 0.018
210000; 0.018
215000; 0.018
220000; 0.021
225000; 0.021
230000; 0.022
235000; 0.022
240000; 0.023
245000; 0.022
250000; 0.024
255000; 0.023
260000; 0.027
265000; 0.024
270000; 0.025
275000; 0.026
280000; 0.026
285000; 0.026
290000; 0.029
295000; 0.029
300000; 0.031
305000; 0.037
310000; 0.068
315000; 0.068
320000; 0.069
325000; 0.119
330000; 0.076
335000; 0.072
340000; 0.076
345000; 0.077
350000; 0.078
355000; 0.072
360000; 0.033
365000; 0.034
370000; 0.036
375000; 0.036
380000; 0.035
385000; 0.037
390000; 0.038
395000; 0.037
400000; 0.039
405000; 0.038
410000; 0.039
415000; 0.039
420000; 0.041
425000; 0.078
430000; 0.049
435000; 0.042
440000; 0.044
445000; 0.046
450000; 0.052
455000; 0.064
460000; 0.107
465000; 0.106
470000; 0.100
475000; 0.114
480000; 0.108
485000; 0.109
490000; 0.105
495000; 0.053
500000; 0.048
505000; 0.051
510000; 0.050
515000; 0.049
520000; 0.052
525000; 0.050
530000; 0.053
535000; 0.051
540000; 0.051
545000; 0.056
550000; 0.053
555000; 0.054
560000; 0.060
565000; 0.057
570000; 0.104
575000; 0.135
580000; 0.132
585000; 0.133
590000; 0.137
595000; 0.139
600000; 0.154
605000; 0.059
610000; 0.060
615000; 0.059
620000; 0.060
625000; 0.062
630000; 0.061
635000; 0.062
640000; 0.061
645000; 0.065
650000; 0.064
655000; 0.074
660000; 0.066
665000; 0.098
670000; 0.156
675000; 0.153
680000; 0.156
685000; 0.163
690000; 0.164
695000; 0.068
700000; 0.072
705000; 0.074
710000; 0.074
715000; 0.071
720000; 0.073
725000; 0.073
730000; 0.071
735000; 0.079
740000; 0.080
745000; 0.109
750000; 0.254
755000; 0.184
760000; 0.177
765000; 0.175
770000; 0.076
775000; 0.080
780000; 0.080
785000; 0.078
790000; 0.077
795000; 0.079
800000; 0.080
805000; 0.080
810000; 0.080
815000; 0.092
820000; 0.079
825000; 0.090
830000; 0.082
835000; 0.085
840000; 0.084
845000; 0.083
850000; 0.110
855000; 0.085
860000; 0.127
865000; 0.203
870000; 0.237
875000; 0.214
880000; 0.232
885000; 0.136
890000; 0.092
895000; 0.089
900000; 0.092
905000; 0.117
910000; 0.090
915000; 0.092
920000; 0.092
925000; 0.093
930000; 0.217
935000; 0.214
940000; 0.218
945000; 0.240
950000; 0.092
955000; 0.096
960000; 0.095
965000; 0.095
970000; 0.094
975000; 0.099
980000; 0.098
985000; 0.099
990000; 0.103
995000; 0.174
1000000; 0.230
