10000; 0.039
15000; 0.084
20000; 0.150
25000; 0.236
30000; 0.349
35000; 0.459
40000; 0.585
45000; 0.752
50000; 0.937
55000; 1.190
60000; 1.392
65000; 1.717
70000; 1.916
75000; 2.293
80000; 2.580
85000; 3.289
90000; 3.352
95000; 3.792
